municipio_cvegeo,total_camas,Nom_Ent,Nom_Mun,municipio_cvegeo,total_camas,Nom_Mun,Entidad,Total_camas
8013,0,Chihuahua,Casas Grandes,8013,0,Casas Grandes,,
8014,0,Chihuahua,Coronado,8014,0,Coronado,,
8015,0,Chihuahua,Coyame del Sotol,8015,0,Coyame del Sotol,,
8016,0,Chihuahua,La Cruz,8016,0,La Cruz,,
8017,273,Chihuahua,Cuauhtémoc,8017,273,Cuauhtémoc,,
8018,0,Chihuahua,Cusihuiriachi,8018,0,Cusihuiriachi,,
8019,1635,Chihuahua,Chihuahua,8019,1635,Chihuahua,,
8020,0,Chihuahua,Chínipas,8020,0,Chínipas,,
8021,267,Chihuahua,Delicias,8021,267,Delicias,,
8022,0,Chihuahua,Dr. Belisario Domínguez,8022,0,Dr. Belisario Domínguez,,
8023,0,Chihuahua,Galeana,8023,0,Galeana,,
8024,0,Chihuahua,Santa Isabel,8024,0,Santa Isabel,,
8025,31,Chihuahua,Gómez Farías,8025,31,Gómez Farías,,
8026,0,Chihuahua,Gran Morelos,8026,0,Gran Morelos,,
8027,27,Chihuahua,Guachochi,8027,27,Guachochi,,
8028,0,Chihuahua,Guadalupe,8028,0,Guadalupe,,
8029,48,Chihuahua,Guadalupe y Calvo,8029,48,Guadalupe y Calvo,,
8030,0,Chihuahua,Guazapares,8030,0,Guazapares,,
8031,4,Chihuahua,Guerrero,8031,4,Guerrero,,
8032,285,Chihuahua,Hidalgo del Parral,8032,285,Hidalgo del Parral,,
8033,0,Chihuahua,Huejotitán,8033,0,Huejotitán,,
8034,0,Chihuahua,Ignacio Zaragoza,8034,0,Ignacio Zaragoza,,
8035,0,Chihuahua,Janos,8035,0,Janos,,
8036,37,Chihuahua,Jiménez,8036,37,Jiménez,,
8037,2098,Chihuahua,Juárez,8037,2098,Juárez,,
8038,0,Chihuahua,Julimes,8038,0,Julimes,,
8039,0,Chihuahua,López,8039,0,López,,
8040,0,Chihuahua,Madera,8040,0,Madera,,
8041,0,Chihuahua,Maguarichi,8041,0,Maguarichi,,
8042,0,Chihuahua,Manuel Benavides,8042,0,Manuel Benavides,,
8043,0,Chihuahua,Matachí,8043,0,Matachí,,
8044,0,Chihuahua,Matamoros,8044,0,Matamoros,,
8045,0,Chihuahua,Meoqui,8045,0,Meoqui,,
8046,0,Chihuahua,Morelos,8046,0,Morelos,,
8047,0,Chihuahua,Moris,8047,0,Moris,,
8048,22,Chihuahua,Namiquipa,8048,22,Namiquipa,,
8049,0,Chihuahua,Nonoava,8049,0,Nonoava,,
8050,151,Chihuahua,Nuevo Casas Grandes,8050,151,Nuevo Casas Grandes,,
8051,0,Chihuahua,Ocampo,8051,0,Ocampo,,
8052,31,Chihuahua,Ojinaga,8052,31,Ojinaga,,
8053,0,Chihuahua,Praxedis G. Guerrero,8053,0,Praxedis G. Guerrero,,
8054,2,Chihuahua,Riva Palacio,8054,2,Riva Palacio,,
8055,0,Chihuahua,Rosales,8055,0,Rosales,,
8056,0,Chihuahua,Rosario,8056,0,Rosario,,
8057,0,Chihuahua,San Francisco de Borja,8057,0,San Francisco de Borja,,
8058,0,Chihuahua,San Francisco de Conchos,8058,0,San Francisco de Conchos,,
8059,0,Chihuahua,San Francisco del Oro,8059,0,San Francisco del Oro,,
8060,0,Chihuahua,Santa Bárbara,8060,0,Santa Bárbara,,
8061,0,Chihuahua,Satevó,8061,0,Satevó,,
8062,14,Chihuahua,Saucillo,8062,14,Saucillo,,
8063,0,Chihuahua,Temósachic,8063,0,Temósachic,,
8064,0,Chihuahua,El Tule,8064,0,El Tule,,
8065,0,Chihuahua,Urique,8065,0,Urique,,
8066,0,Chihuahua,Uruachi,8066,0,Uruachi,,
8067,0,Chihuahua,Valle de Zaragoza,8067,0,Valle de Zaragoza,,
9002,1926,Ciudad de México,Azcapotzalco,9002,1926,Azcapotzalco,,
9003,1286,Ciudad de México,Coyoacán,9003,1286,Coyoacán,,
9004,59,Ciudad de México,Cuajimalpa de Morelos,9004,59,Cuajimalpa de Morelos,,
9005,2860,Ciudad de México,Gustavo A. Madero,9005,2860,Gustavo A. Madero,,
9006,647,Ciudad de México,Iztacalco,9006,647,Iztacalco,,
9007,2126,Ciudad de México,Iztapalapa,9007,2126,Iztapalapa,,
9008,71,Ciudad de México,La Magdalena Contreras,9008,71,La Magdalena Contreras,,
9009,168,Ciudad de México,Milpa Alta,9009,168,Milpa Alta,,
9010,1993,Ciudad de México,Álvaro Obregón,9010,1993,Álvaro Obregón,,
9011,520,Ciudad de México,Tláhuac,9011,520,Tláhuac,,
9012,2713,Ciudad de México,Tlalpan,9012,2713,Tlalpan,,
9013,225,Ciudad de México,Xochimilco,9013,225,Xochimilco,,
9014,1664,Ciudad de México,Benito Juárez,9014,1664,Benito Juárez,,
9015,4124,Ciudad de México,Cuauhtémoc,9015,4124,Cuauhtémoc,,
9016,2834,Ciudad de México,Miguel Hidalgo,9016,2834,Miguel Hidalgo,,
9017,687,Ciudad de México,Venustiano Carranza,9017,687,Venustiano Carranza,,
10001,29,Durango,Canatlán,10001,29,Canatlán,,
10002,0,Durango,Canelas,10002,0,Canelas,,
10003,0,Durango,Coneto de Comonfort,10003,0,Coneto de Comonfort,,
10004,52,Durango,Cuencamé,10004,52,Cuencamé,,
10005,1224,Durango,Durango,10005,1224,Durango,,
10006,8,Durango,General Simón Bolívar,10006,8,General Simón Bolívar,,
10007,412,Durango,Gómez Palacio,10007,412,Gómez Palacio,,
10008,12,Durango,Guadalupe Victoria,10008,12,Guadalupe Victoria,,
10009,0,Durango,Guanaceví,10009,0,Guanaceví,,
10010,0,Durango,Hidalgo,10010,0,Hidalgo,,
10011,0,Durango,Indé,10011,0,Indé,,
10012,108,Durango,Lerdo,10012,108,Lerdo,,
10013,8,Durango,Mapimí,10013,8,Mapimí,,
10014,44,Durango,Mezquital,10014,44,Mezquital,,
10015,8,Durango,Nazas,10015,8,Nazas,,
10016,0,Durango,Nombre de Dios,10016,0,Nombre de Dios,,
10017,9,Durango,Ocampo,10017,9,Ocampo,,
10018,30,Durango,El Oro,10018,30,El Oro,,
10019,0,Durango,Otáez,10019,0,Otáez,,
10020,9,Durango,Pánuco de Coronado,10020,9,Pánuco de Coronado,,
10021,8,Durango,Peñón Blanco,10021,8,Peñón Blanco,,
10022,15,Durango,Poanas,10022,15,Poanas,,
10023,38,Durango,Pueblo Nuevo,10023,38,Pueblo Nuevo,,
10024,11,Durango,Rodeo,10024,11,Rodeo,,
10025,0,Durango,San Bernardo,10025,0,San Bernardo,,
10026,0,Durango,San Dimas,10026,0,San Dimas,,
10027,0,Durango,San Juan de Guadalupe,10027,0,San Juan de Guadalupe,,
10028,9,Durango,San Juan del Río,10028,9,San Juan del Río,,
10029,0,Durango,San Luis del Cordero,10029,0,San Luis del Cordero,,
10030,0,Durango,San Pedro del Gallo,10030,0,San Pedro del Gallo,,
10031,0,Durango,Santa Clara,10031,0,Santa Clara,,
10032,67,Durango,Santiago Papasquiaro,10032,67,Santiago Papasquiaro,,
10033,12,Durango,Súchil,10033,12,Súchil,,
10034,23,Durango,Tamazula,10034,23,Tamazula,,
10035,0,Durango,Tepehuanes,10035,0,Tepehuanes,,
10036,0,Durango,Tlahualilo,10036,0,Tlahualilo,,
10037,0,Durango,Topia,10037,0,Topia,,
10038,16,Durango,Vicente Guerrero,10038,16,Vicente Guerrero,,
10039,15,Durango,Nuevo Ideal,10039,15,Nuevo Ideal,,
11001,43,Guanajuato,Abasolo,11001,43,Abasolo,,
11002,86,Guanajuato,Acámbaro,11002,86,Acámbaro,,
11003,102,Guanajuato,San Miguel de Allende,11003,102,San Miguel de Allende,,
11004,29,Guanajuato,Apaseo el Alto,11004,29,Apaseo el Alto,,
11005,18,Guanajuato,Apaseo el Grande,11005,18,Apaseo el Grande,,
11006,0,Guanajuato,Atarjea,11006,0,Atarjea,,
11007,658,Guanajuato,Celaya,11007,658,Celaya,,
11008,22,Guanajuato,Manuel Doblado,11008,22,Manuel Doblado,,
11009,33,Guanajuato,Comonfort,11009,33,Comonfort,,
11010,0,Guanajuato,Coroneo,11010,0,Coroneo,,
11011,11,Guanajuato,Cortazar,11011,11,Cortazar,,
11012,0,Guanajuato,Cuerámaro,11012,0,Cuerámaro,,
11013,3,Guanajuato,Doctor Mora,11013,3,Doctor Mora,,
