CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO,FECHA_TRANSACCION
91868109,1,BANCO,ACTIREN,Jalisco,81512.20413,COMPRA,FEMENINO,89.91388889,NO ENROLADO,14/02/20
91895623,1,BANCO,CUENTA_EJE,Jalisco,543285.4888,RETIRO,MASCULINO,44.77222222,ENROLADO,14/02/20
91943019,1,BANCO,SURPAT,Cancun,25065.57,VENTA,MASCULINO,85.33611111,NO ENROLADO,14/02/20
91993964,1,BANCO,ACTIGOB,Ciudad de Mexico,530610.3633,VENTA,MASCULINO,20.66111111,ENROLADO,14/02/20
92008523,1,BANCO,IMPULSA,Jalisco,707290.0162,VENTA,FEMENINO,87.975,NO ENROLADO,14/02/20
92059427,1,BANCO,IMPULSA,Jalisco,72130.6182,VENTA,FEMENINO,69.95555556,NO ENROLADO,14/02/20
92197060,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,281512.18,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,33.13888889,NO ENROLADO,14/02/20
92197144,1,BANCO,ACTIGOB,Ciudad de Mexico,205962.6533,COMPRA,FEMENINO,42.025,ENROLADO,14/02/20
92218270,1,BANCO,ALTERNA,Ciudad de Mexico,102513.0299,VENTA,MASCULINO,37.31944444,ENROLADO,14/02/20
92249291,1,BANCO,ACTIREN,Ciudad de Mexico,21186.6507,COMPRA,FEMENINO,41.43611111,ENROLADO,14/02/20
92268473,1,BANCO,ACTIMED,Jalisco,336542.0129,COMPRA,FEMENINO,65.06944444,NO ENROLADO,14/02/20
92276393,1,BANCO,ACTIMED,Jalisco,51003.46298,VENTA,FEMENINO,37.31388889,ENROLADO,14/02/20
92297613,1,BANCO,ACTIMED,Ciudad de Mexico,654641.4731,VENTA,FEMENINO,90.81111111,ENROLADO,14/02/20
92371046,1,BANCO,ACTIMED,Toluca,150936.1514,COMPRA,FEMENINO,75.48333333,ENROLADO,14/02/20
92487057,1,BANCO,ACTI500,Ciudad de Mexico,131452.4955,VENTA,FEMENINO,46.13055556,ENROLADO,14/02/20
