CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO
90075003,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,16287.34,RETIRO POR PAGO EN VENTANILLA                                                                       ,MASCULINO,33,ENROLADO
90075839,1,BANCO,ACTIMED,Ciudad de Mexico,5147268.041,COMPRA,FEMENINO,56,ENROLADO
90075920,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,46391.43,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,45,NO ENROLADO
90077058,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,9280012.53,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,81,NO ENROLADO
90078072,2,CASA DE BOLSA,ACTIREN   ,Ciudad de Mexico,5023023.59,VENTA                                                                                               ,MASCULINO,67,NO ENROLADO
90079054,2,CASA DE BOLSA,EFECTIVO,Jalisco,60180.07,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,54,NO ENROLADO
90081043,2,CASA DE BOLSA,EFECTIVO,Morelia,391515.25,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,70,NO ENROLADO
90081662,1,BANCO,ACTIGOB,Ciudad de Mexico,99782.98553,VENTA,MASCULINO,34,ENROLADO
90082066,1,BANCO,ACTIMED,Ciudad de Mexico,302103.5793,COMPRA,FEMENINO,74,ENROLADO
90082314,2,CASA DE BOLSA,EFECTIVO,Aguascalientes,1656689.34,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,83,NO ENROLADO
90084526,2,CASA DE BOLSA,EFECTIVO,Aguascalientes,859508.22,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,69,NO ENROLADO
90086075,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1537524.5,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,48,NO ENROLADO
90089772,2,CASA DE BOLSA,EFECTIVO,Aguascalientes,6552293.09,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,58,ENROLADO
90095381,2,CASA DE BOLSA,EFECTIVO,Toluca,5003067.09,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,93,NO ENROLADO
90098948,2,CASA DE BOLSA,IMPULSA   ,Chihuahua,5833045.65,VENTA                                                                                               ,FEMENINO,41,ENROLADO
90099862,1,BANCO,ACTIMED,Culiacan,1211461.969,COMPRA,FEMENINO,36,ENROLADO
90102567,2,CASA DE BOLSA,EFECTIVO,Aguascalientes,47777.66,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,48,NO ENROLADO
90104241,2,CASA DE BOLSA,DINAMO    ,Ciudad de Mexico,51804411.71,VENTA                                                                                               ,MASCULINO,59,NO ENROLADO
90106600,2,CASA DE BOLSA,EFECTIVO,Toluca,303427.42,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,80,ENROLADO
90106824,2,CASA DE BOLSA,ACTVIDA   ,Ciudad de Mexico,103911.78,VENTA                                                                                               ,FEMENINO,55,ENROLADO
